date,Month Day,Week day,Hour,Minute,DLR Open,DCA Open,DLR Close,DCA Close,Wait Ride 0,Open Ride 0,Wait Ride 1,Open Ride 1,Wait Ride 2,Open Ride 2,Wait Ride 3,Open Ride 3,Wait Ride 4,Open Ride 4
2018-11-01,13,3,15,45,8,8,23,20,25,1,11,1,33,1,38,1,44,1
2018-11-01,13,3,16,0,8,8,23,20,13,1,12,1,35,1,43,1,36,1
2018-11-01,13,3,16,15,8,8,23,20,23,1,13,1,35,1,48,1,28,1
2018-11-01,13,3,16,30,8,8,23,20,26,1,14,1,35,1,53,1,22,1
2018-11-01,13,3,16,45,8,8,23,20,31,1,23,1,35,1,58,1,15,1
2018-11-01,13,3,17,0,8,8,23,20,35,1,17,1,35,1,65,1,22,1
2018-11-01,13,3,17,15,8,8,23,20,35,1,14,1,35,1,54,1,28,1
2018-11-01,13,3,17,30,8,8,23,20,27,1,13,1,35,1,42,1,22,1
2018-11-01,13,3,17,45,8,8,23,20,20,1,12,1,35,1,27,1,15,1
2018-11-01,13,3,18,0,8,8,23,20,18,1,10,1,31,1,41,1,12,1
2018-11-01,13,3,18,15,8,8,23,20,17,1,8,1,45,1,32,1,8,1
2018-11-01,13,3,18,30,8,8,23,20,16,1,6,1,45,1,24,1,5,1
2018-11-01,13,3,18,45,8,8,23,20,16,1,12,1,45,1,33,1,5,1
2018-11-01,13,3,19,0,8,8,23,20,19,1,9,1,45,1,55,1,5,1
2018-11-01,13,3,19,15,8,8,23,20,18,1,11,1,45,1,47,1,5,1
2018-11-01,13,3,19,30,8,8,23,20,14,1,6,1,47,1,52,1,5,1
2018-11-01,13,3,19,45,8,8,23,20,10,1,12,1,50,1,47,1,5,1
2018-11-01,13,3,20,0,8,8,23,20,6,1,6,1,53,1,43,1,5,1
2018-11-01,13,3,20,15,8,8,23,20,10,1,12,1,54,1,47,1,5,1
2018-11-01,13,3,20,30,8,8,23,20,14,1,10,1,51,1,52,1,5,1
2018-11-01,13,3,20,45,8,8,23,20,10,1,7,1,48,1,47,1,5,1
2018-11-01,13,3,21,0,8,8,23,20,6,1,6,1,46,1,43,1,5,1
2018-11-01,13,3,21,15,8,8,23,20,10,1,12,1,41,1,47,1,5,1
2018-11-01,13,3,21,30,8,8,23,20,14,1,10,1,36,1,35,1,5,1
2018-11-01,13,3,21,45,8,8,23,20,10,1,7,1,30,1,35,1,5,1
2018-11-01,13,3,22,0,8,8,23,20,6,1,6,1,26,1,47,1,5,1
2018-11-01,13,3,22,15,8,8,23,20,5,1,5,1,21,1,55,1,5,1
2018-11-01,13,3,22,30,8,8,23,20,5,1,5,1,16,1,55,1,5,1
2018-11-01,13,3,22,45,8,8,23,20,5,1,5,1,13,1,55,1,5,1
2018-11-01,13,3,23,0,8,8,23,20,5,1,5,1,13,1,55,1,5,1
2018-11-01,14,4,8,0,8,8,23,20,5,1,5,1,5,1,10,1,5,1
2018-11-01,14,4,8,15,8,8,23,20,6,1,6,1,5,1,15,1,11,1
2018-11-01,14,4,8,30,8,8,23,20,8,1,9,1,5,1,13,1,20,1
2018-11-01,14,4,8,45,8,8,23,20,10,1,7,1,5,1,15,1,29,1
2018-11-01,14,4,9,0,8,8,23,20,8,1,8,1,5,1,17,1,20,1
2018-11-01,14,4,9,15,8,8,23,20,6,1,6,1,5,1,15,1,11,1
2018-11-01,14,4,9,30,8,8,23,20,8,1,9,1,5,1,20,1,20,1
2018-11-01,14,4,9,45,8,8,23,20,10,1,11,1,5,1,20,1,29,1
2018-11-01,14,4,10,0,8,8,23,20,14,1,12,1,6,1,17,1,20,1
2018-11-01,14,4,10,15,8,8,23,20,11,1,13,1,22,1,28,1,11,1
2018-11-01,14,4,10,30,8,8,23,20,11,1,14,1,35,1,39,1,20,1
2018-11-01,14,4,10,45,8,8,23,20,13,1,11,1,43,1,34,1,29,1
2018-11-01,14,4,11,0,8,8,23,20,17,1,12,1,36,1,29,1,31,1
2018-11-01,14,4,11,15,8,8,23,20,25,1,13,1,30,1,28,1,18,1
2018-11-01,14,4,11,30,8,8,23,20,28,1,14,1,53,1,38,1,18,1
2018-11-01,14,4,11,45,8,8,23,20,25,1,16,1,57,1,42,1,50,1
2018-11-01,14,4,12,0,8,8,23,20,23,1,19,1,41,1,54,1,33,1
2018-11-01,14,4,12,15,8,8,23,20,22,1,22,1,35,1,51,1,32,1
2018-11-01,14,4,12,30,8,8,23,20,20,1,25,1,30,1,53,1,34,1
2018-11-01,14,4,12,45,8,8,23,20,22,1,16,1,37,1,39,1,39,1
2018-11-01,14,4,13,0,8,8,23,20,25,1,19,1,44,1,34,1,48,1
2018-11-01,14,4,13,15,8,8,23,20,22,1,22,1,39,1,38,1,53,1
2018-11-01,14,4,13,30,8,8,23,20,23,1,25,1,38,1,28,1,58,1
