year,month,date,dlr_open,dca_open,dlr_close,dca_close,weather_daily_tempHigh,weather_daily_tempLow,weather_daily_precip,parkPopulation
2018,6,25,8,8,0,22,80.44,62.89,0,393
2018,6,26,8,8,0,22,82.12,63.67,0,393
2018,6,27,8,8,0,22,82.36,63.44,0,336
2018,6,28,8,8,0,22,78.77,64,0,354
2018,6,29,9,9,0,22,76.52,64.52,0,291
2018,6,30,9,9,0,22,78.21,63.19,0,342
2018,7,1,9,9,0,22,80.52,64.82,0,201
2018,7,2,8,8,0,22,81.21,65.05,0,365
2018,7,3,8,8,0,22,78.79,64.6,0,363
2018,7,4,8,8,0,22,83.12,63.47,0,331
2018,7,5,8,8,0,22,95.87,69.73,0,340
2018,7,6,8,8,0,22,113,77.04,0,235
2018,7,7,9,9,0,22,101.13,77.33,0,251
2018,7,8,8,8,0,22,95.27,74.7,0,212
2018,7,9,8,8,0,22,92.63,73.62,0,378
2018,7,10,8,8,0,22,88.82,70.28,0,375
2018,7,11,8,8,0,22,89.15,70.97,0,377
2018,7,12,8,8,0,22,88.94,69.83,0,380
2018,7,13,9,9,0,22,88.13,69.06,0,294
2018,7,14,9,9,0,22,89.24,69.97,0,323
2018,7,15,8,8,0,22,86.77,69.3,0,272
2018,7,16,8,8,0,22,85.79,69.19,0,328
2018,7,17,8,8,0,22,85.2,70.1,0,328
2018,7,18,8,8,0,22,85.8,69.69,0,391
2018,7,19,8,8,0,22,85.44,69.65,0,416
2018,7,20,9,9,0,22,84.92,68.41,0,296
2018,7,21,9,9,0,22,86.34,68.53,0,384
2018,7,22,8,8,0,22,90.93,70.62,0,258
2018,7,23,8,8,0,22,94.79,72.05,0,441
2018,7,24,8,8,0,22,95.82,71.86,0,390
2018,7,25,8,8,0,22,92.41,70.78,0,321
2018,7,26,8,8,0,22,85.41,69.8,0,369
2018,7,27,8,8,0,22,92.66,70.31,0,284
2018,7,28,9,9,0,22,85.39,69.2,0,324
2018,7,29,8,8,0,22,92.06,73.09,0,254
2018,7,30,8,8,0,22,92.14,71.96,0,381
2018,7,31,8,8,0,22,92.65,72.53,0,317
2018,8,1,8,8,0,22,93.61,73.21,0,305
2018,8,2,8,8,0,22,90.15,70.8,0,350
2018,8,3,9,9,0,22,91.1,70.46,0,275
2018,8,4,8,8,0,22,90.1,69.06,0,300
2018,8,5,8,8,0,22,90.78,69.57,0,235
2018,8,6,8,9,0,22,96.6,71.69,0,366
2018,8,7,8,9,0,22,96.8,73.25,0,317
2018,8,8,8,9,0,22,94.19,73.69,0,277
2018,8,9,8,9,0,22,96.44,75.59,0,297
2018,8,10,8,8,0,22,91.82,73.31,0,244
2018,8,11,9,9,0,22,89.84,71.7,0,273
2018,8,12,8,8,0,22,87.71,69.04,0,212
2018,8,13,9,9,23,21,86.18,68.2,0,341
2018,8,14,9,9,23,21,85.33,69.64,0,277
2018,8,15,9,9,23,21,85.17,71.08,0,264
2018,8,16,9,9,23,21,85.58,72.14,0,281
2018,8,17,9,9,23,22,87.64,71.25,0,231
2018,8,18,8,8,23,22,86.81,69.91,0,332
2018,8,19,8,8,23,22,87.1,70.84,0,248
2018,8,20,8,8,23,22,84.34,70.65,0,364
2018,8,21,8,8,23,22,85.43,70.35,0,253
2018,8,22,9,9,23,22,86.86,69.07,0,276
2018,8,23,9,9,23,22,85.74,68.41,0,300
