year,month,day_of_month,day_of_week,hour_of_day,minute,dlr_open,dca_open,dlr_close,dca_close,ride-0,wait-0,open-0,ride-1,wait-1,open-1,ride-2,wait-2,open-2,ride-3,wait-3,open-3,ride-4,wait-4,open-4
2017, 11, 17, 6, 21, 15, 08, 08, 00, 23, 353405, 15, 1, 353293, 10, 1, 353347, 21, 1, 353435, 37, 1, 353437, 5, 1
2017, 11, 17, 6, 21, 30, 08, 08, 00, 23, 353405, 15, 1, 353293, 7, 1, 353347, 35, 1, 353435, 29, 1, 353437, 5, 1
2017, 11, 17, 6, 21, 45, 08, 08, 00, 23, 353405, 15, 1, 353293, 18, 1, 353347, 28, 1, 353435, 35, 1, 353437, 5, 1
2017, 11, 17, 6, 22, 0, 08, 08, 00, 23, 353405, 15, 1, 353293, 14, 1, 353347, 32, 1, 353435, 65, 1, 353437, 5, 1
2017, 11, 17, 6, 22, 15, 08, 08, 00, 23, 353405, 15, 1, 353293, 10, 1, 353347, 20, 1, 353435, 69, 1, 353437, 5, 1
2017, 11, 17, 6, 22, 30, 08, 08, 00, 23, 353405, 15, 1, 353293, 7, 1, 353347, 24, 1, 353435, 60, 1, 353437, 5, 1
2017, 11, 17, 6, 22, 45, 08, 08, 00, 23, 353405, 15, 1, 353293, 5, 1, 353347, 28, 1, 353435, 42, 1, 353437, 5, 1
2017, 11, 17, 6, 23, 0, 08, 08, 00, 23, 353405, 15, 1, 353293, 5, 1, 353347, 32, 1, 353435, 26, 1, 353437, 5, 1
2017, 11, 17, 6, 23, 15, 08, 08, 00, 23, 353405, 15, 1, 353293, 5, 1, 353347, 35, 1, 353435, 37, 1, 353437, 5, 1
2017, 11, 17, 6, 23, 30, 08, 08, 00, 23, 353405, 15, 1, 353293, 5, 1, 353347, 35, 1, 353435, 52, 1, 353437, 5, 1
2017, 11, 17, 6, 23, 45, 08, 08, 00, 23, 353405, 15, 1, 353293, 5, 1, 353347, 35, 1, 353435, 44, 1, 353437, 5, 1
2017, 11, 18, 7, 8, 0, 08, 08, 00, 22, 353405, 5, 1, 353293, 5, 1, 353347, 5, 1, 353435, 20, 1, 353437, 5, 1
2017, 11, 18, 7, 8, 15, 08, 08, 00, 22, 353405, 5, 1, 353293, 6, 1, 353347, 7, 1, 353435, 22, 1, 353437, 6, 1
2017, 11, 18, 7, 8, 30, 08, 08, 00, 22, 353405, 5, 1, 353293, 11, 1, 353347, 9, 1, 353435, 25, 1, 353437, 7, 1
2017, 11, 18, 7, 8, 45, 08, 08, 00, 22, 353405, 5, 1, 353293, 15, 1, 353347, 7, 1, 353435, 29, 1, 353437, 9, 1
2017, 11, 18, 7, 9, 0, 08, 08, 00, 22, 353405, 5, 1, 353293, 10, 1, 353347, 8, 1, 353435, 38, 1, 353437, 10, 1
2017, 11, 18, 7, 9, 15, 08, 08, 00, 22, 353405, 5, 1, 353293, 6, 1, 353347, 7, 1, 353435, 51, 1, 353437, 6, 1
2017, 11, 18, 7, 9, 30, 08, 08, 00, 22, 353405, 8, 1, 353293, 11, 1, 353347, 9, 1, 353435, 57, 1, 353437, 7, 1
2017, 11, 18, 7, 9, 45, 08, 08, 00, 22, 353405, 11, 1, 353293, 15, 1, 353347, 18, 1, 353435, 47, 1, 353437, 9, 1
2017, 11, 18, 7, 10, 0, 08, 08, 00, 22, 353405, 15, 1, 353293, 10, 1, 353347, 26, 1, 353435, 20, 1, 353437, 10, 1
2017, 11, 18, 7, 10, 15, 08, 08, 00, 22, 353405, 19, 1, 353293, 6, 1, 353347, 33, 1, 353435, 31, 1, 353437, 10, 1
2017, 11, 18, 7, 10, 30, 08, 08, 00, 22, 353405, 22, 1, 353293, 11, 1, 353347, 37, 1, 353435, 48, 1, 353437, 10, 1
2017, 11, 18, 7, 10, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 15, 1, 353347, 40, 1, 353435, 60, 1, 353437, 10, 1
2017, 11, 18, 7, 11, 0, 08, 08, 00, 22, 353405, 28, 1, 353293, 17, 1, 353347, 49, 1, 353435, 60, 1, 353437, 10, 1
2017, 11, 18, 7, 11, 15, 08, 08, 00, 22, 353405, 33, 1, 353293, 18, 1, 353347, 49, 1, 353435, 60, 1, 353437, 45, 1
2017, 11, 18, 7, 11, 30, 08, 08, 00, 22, 353405, 42, 1, 353293, 20, 1, 353347, 36, 1, 353435, 60, 1, 353437, 33, 1
2017, 11, 18, 7, 11, 45, 08, 08, 00, 22, 353405, 36, 1, 353293, 18, 1, 353347, 39, 1, 353435, 60, 1, 353437, 38, 1
